Categoria,Columna,Peso,Valor,ValorFlt,Posicion
Almacenamiento,Memoria GB,1.0,16.0,16.0,0.33
Almacenamiento,Memoria GB,1.0,19.65024730427611,19.65024730427611,0.67
Almacenamiento,Memoria GB,1.0,77.97618740604834,77.97618740604834,1.0
Tiene SIM,SIM,1.0,0.0,-1.0,0.0
Tiene SIM,SIM,1.0,1.0,-1.0,1.0
Bateria,Bateria mAh,0.7,2360.0,2360.0,0.33
Bateria,Bateria mAh,0.7,2781.032311763091,2781.032311763091,0.67
Bateria,Bateria mAh,0.7,4261.965856088336,4261.965856088336,1.0
Bateria,Horas Bateria,0.2,466.5151515151515,466.5151515151515,0.33
Bateria,Horas Bateria,0.2,336.4994751954959,336.4994751954959,0.67
Bateria,Horas Bateria,0.2,891.1277975317767,891.1277975317767,1.0
Bateria,Horas Llamada Bateria,0.05,15.4,15.4,0.33
Bateria,Horas Llamada Bateria,0.05,16.733849245106274,16.733849245106274,0.67
Bateria,Horas Llamada Bateria,0.05,22.35256409128061,22.35256409128061,1.0
Bateria,Vida Bateria,0.05,81.61904761904762,81.61904761904762,0.33
Bateria,Vida Bateria,0.05,83.60503936955428,83.60503936955428,0.67
Bateria,Vida Bateria,0.05,107.78533985906026,107.78533985906026,1.0
Tiene Audifonos,Audifonos,1.0,0.0,-1.0,0.0
Tiene Audifonos,Audifonos,1.0,1.0,-1.0,1.0
Tiene Bluetooth,Bluetooth,1.0,0.0,-1.0,0.0
Tiene Bluetooth,Bluetooth,1.0,1.0,-1.0,1.0
Cable Conexion,Conector,1.0,microUSB,-1.0,0.33
Cable Conexion,Conector,1.0,USB Type-C,-1.0,0.33
Cable Conexion,Conector,1.0,No,-1.0,1.0
Cable Conexion,Conector,1.0,Otro,-1.0,1.0
Camara,Camara MP,0.9,5.0,5.0,0.33
Camara,Camara MP,0.9,6.13956301327007,6.13956301327007,0.67
Camara,Camara MP,0.9,30.435500610992584,30.435500610992584,1.0
Camara,Num Camaras,0.1,1,-1.0,0.2
Camara,Num Camaras,0.1,2,-1.0,0.4
Camara,Num Camaras,0.1,0,-1.0,0.6
Camara,Num Camaras,0.1,3,-1.0,0.8
Camara,Num Camaras,0.1,4,-1.0,0.8
Camara,Num Camaras,0.1,5,-1.0,1.0
Camara Video,Video FPS,0.2,30.0,30.0,0.33
Camara Video,Video FPS,0.2,23.704728280277365,23.704728280277365,0.67
Camara Video,Video FPS,0.2,50.41719722938895,50.41719722938895,1.0
Camara Video,Video Pixeles,0.8,960.0,960.0,0.33
Camara Video,Video Pixeles,0.8,1077.1203179578936,1077.1203179578936,0.67
Camara Video,Video Pixeles,0.8,2686.0833154276597,2686.0833154276597,1.0
Tiene Lector Huella,Lector Huella,1.0,0,-1.0,0.0
Tiene Lector Huella,Lector Huella,1.0,1,-1.0,1.0
Tiene Localizacion,GPS,1.0,0,-1.0,0.0
Tiene Localizacion,GPS,1.0,1,-1.0,1.0
Tiene Memoria Adicional,Tarjeta Memoria,1.0,0,-1.0,0.0
Tiene Memoria Adicional,Tarjeta Memoria,1.0,1,-1.0,1.0
Tiene NFC,NFC,1.0,0,-1.0,0.0
Tiene NFC,NFC,1.0,1,-1.0,1.0
Tamanio,Peso Gramos,0.1,175.37491749174916,175.37491749174916,0.33
Tamanio,Peso Gramos,0.1,140.35361914572303,140.35361914572303,0.67
Tamanio,Peso Gramos,0.1,290.9882648536645,290.9882648536645,1.0
Tamanio,Alto,0.03,5.45,5.45,0.33
Tamanio,Alto,0.03,5.58289131602015,5.58289131602015,0.67
Tamanio,Alto,0.03,7.030809827671534,7.030809827671534,1.0
Tamanio,Ancho,0.03,2.89,2.89,0.33
Tamanio,Ancho,0.03,2.568118235786935,2.568118235786935,0.67
Tamanio,Ancho,0.03,4.0325362627217105,4.0325362627217105,1.0
Tamanio,Grueso,0.04,0.25666666666666665,0.25666666666666665,0.33
Tamanio,Grueso,0.04,0.3033061066933791,0.3033061066933791,0.67
Tamanio,Grueso,0.04,0.39237515732559636,0.39237515732559636,1.0
Tamanio,Tamano Pulgadas,0.8,5.0,5.0,0.33
Tamanio,Tamano Pulgadas,0.8,5.200721932680767,5.200721932680767,0.67
Tamanio,Tamano Pulgadas,0.8,6.908891448537259,6.908891448537259,1.0
Precio Fabrica,Precio,1.0,84.21,84.21,0.33
Precio Fabrica,Precio,1.0,157.23661903706932,157.23661903706932,0.67
Precio Fabrica,Precio,1.0,323.67640180574057,323.67640180574057,1.0
Procesamiento,CPU GHz,1.0,6.0,6.0,0.33
Procesamiento,CPU GHz,1.0,7.402791297986539,7.402791297986539,0.67
Procesamiento,CPU GHz,1.0,14.018090101148573,14.018090101148573,1.0
Procesamiento,Procesadores,1.0,4,-1.0,0.33
Procesamiento,Procesadores,1.0,6,-1.0,0.33
Procesamiento,Procesadores,1.0,8,-1.0,0.67
Procesamiento,Procesadores,1.0,10,-1.0,0.67
Procesamiento,Procesadores,1.0,1,-1.0,1.0
Procesamiento,Procesadores,1.0,2,-1.0,1.0
Tiene Radio,Radio,1.0,0,-1.0,0.0
Tiene Radio,Radio,1.0,1,-1.0,1.0
RAM,RAM GB,1.0,1.0,1.0,0.33
RAM,RAM GB,1.0,1.8532304810648745,1.8532304810648745,0.67
RAM,RAM GB,1.0,4.523875216604095,4.523875216604095,1.0
Reciente,Anio Anuncio,1.0,2015,-1.0,0.12
Reciente,Anio Anuncio,1.0,2016,-1.0,0.25
Reciente,Anio Anuncio,1.0,2017,-1.0,0.38
Reciente,Anio Anuncio,1.0,2018,-1.0,0.5
Reciente,Anio Anuncio,1.0,2019,-1.0,0.62
Reciente,Anio Anuncio,1.0,2020,-1.0,0.75
Reciente,Anio Anuncio,1.0,2021,-1.0,0.88
