NombreTelefono,Audifonos,Bluetooth,GPS,Radio,Teclado,SIM,NFC,Lector Huella,Rec Facial,Tarjeta Memoria,Disponible,SO__Apple,SO__Motorola,SO__Otra marca,SO__Samsung,Con__No,Con__Otro,Con__USB Type-C,Con__microUSB,Con__miniUSB,Horas Bateria_NORM,Horas Llamada Bateria_NORM,Bateria mAh_NORM,Peso Gramos_NORM,Resolucion Pixeles Ancho_NORM,Resolucion Pixeles Alto_NORM,Resolucion PPI_NORM,Tamano Pulgadas_NORM,RAM GB_NORM,Memoria GB_NORM,CPU GHz_NORM,Vida Bateria_NORM,Procesadores_NORM,Alto_NORM,Ancho_NORM,Grueso_NORM,Camara MP_NORM,Num Camaras_NORM,Selfie MP_NORM,Num Selfie_NORM,Video Pixeles_NORM,Video FPS_NORM,Selfie Video Pixeles_NORM,Selfie Video FPS_NORM,Precio_NORM
Nokia 3210,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.07481543873556953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 5110,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.10505836575875487,0.052083333333333336,0.03333333333333333,0.0842293018877273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.29229904440697024,0.16771300448430493,0.4135593220338983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 6110,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.10505836575875487,0.052083333333333336,0.03333333333333333,0.06787890799187435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28780213603147836,0.16591928251121077,0.3728813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 6130,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.08949416342412451,0.052083333333333336,0.03333333333333333,0.07531090521726205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31197301854974707,0.1695067264573991,0.33220338983050846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 6150,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.09727626459143969,0.026041666666666668,0.03333333333333333,0.06986077391864441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2855536818437325,0.16591928251121077,0.3728813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 8110,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.058365758754863814,0.052083333333333336,0.022222222222222223,0.07531090521726205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.31197301854974707,0.1695067264573991,0.33220338983050846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 6210,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.12062256809338522,0.057291666666666664,0.058333333333333334,0.05648317891294654,0.025,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28667790893760536,0.16681614349775786,0.25084745762711863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 6250,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.13073929961089495,0.06072916666666667,0.06666666666666667,0.08274290244264976,0.025,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 7110,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.10116731517509728,0.046875,0.03333333333333333,0.06986077391864441,0.025,0.015046296296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.27655986509274877,0.1874439461883408,0.31864406779661014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nokia 9000 Communicator,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.013618677042801557,0.03125,0.0,0.19670019323192786,0.16666666666666666,0.046296296296296294,0.0,0.0,0.0,1.52587890625e-05,0.0,0.0,0.1,0.3827993254637437,0.22600896860986547,0.5084745762711864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
